Event ID,Event Name,Date,Sport,Special Game?,GoFan Game Rating,Home Team ID,Home Team Name,Home Team State Association,GoFan Home Team Rating,GoFan Home Team Status,Opposing Team ID,Opposing Team Name,GoFan Opp Team Rating,GoFan Opp Team Status,App Link,Tickets Sold,Tickets $$,Contact Name,Contact Email,event,home,away,campaign,
17224,,1/24/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17224,,,,,17224,WI50307,WI50307,18BBWeek4,
17149,,1/24/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17149,,,,,17149,WI50307,WI50307,18BBWeek4,
17156,,1/24/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17156,,,,,17156,WI50307,WI50307,18BBWeek4,
17213,,1/24/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17213,,,,,17213,WI50307,WI50307,18BBWeek4,
17764,,1/24/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17764,,,,,17764,WI50307,WI50307,18BBWeek4,
17685,,1/25/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17685,,,,,17685,WI50307,WI50307,18BBWeek4,
17691,,1/26/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17691,,,,,17691,WI50307,WI50307,18BBWeek4,
17676,,1/26/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17676,,,,,17676,WI50307,WI50307,18BBWeek4,
17427,,1/26/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17427,,,,,17427,WI50307,WI50307,18BBWeek4,
17434,,1/27/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17434,,,,,17434,WI50307,WI50307,18BBWeek4,
17186,,1/27/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17186,,,,,17186,WI50307,WI50307,18BBWeek4,
17196,,1/27/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17196,,,,,17196,WI50307,WI50307,18BBWeek4,
17233,,1/27/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17233,,,,,17233,WI50307,WI50307,18BBWeek4,
17440,,1/27/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17440,,,,,17440,WI50307,WI50307,18BBWeek4,
17736,,1/27/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17736,,,,,17736,WI50307,WI50307,18BBWeek4,
17447,,1/28/18,Basketball,,,WI50307,Milwaukee Public Schools,,,,,,,,https://gofan.co/app/events/17447,,,,,17447,WI50307,WI50307,18BBWeek4,
20155,,1/27/18,Cheerleading,,,WIAA,WIAA (Wisconsin),,,,,,,,https://gofan.co/app/events/20155,,,,,20155,WIAA,WIAA,18CHEERWeek4,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
