event,campaign,home,away
18410,17FBWeek14,WV24976,WV2109
18308,17FBWeek14,FL7753,FL67968
18376,17FBWeek14,AL2482,AL1147
18313,17FBWeek14,FL6505,FL5873
16961,17FBWeek14,CA22527,CA15781
18426,17FBWeek14,CA22986,CA22863
18383,17FBWeek14,AL1873,AL2225
18412,17FBWeek14,WV1505,WV2295
18273,17FBWeek14,GA4875,GA5789
18363,17FBWeek14,AL1764,AL11812
18433,17FBWeek14,CA23036,CA22960
16924,17FBWeek14,CA8012,no opponent ID given
18276,17FBWeek14,GA17965,GA5064
18305,17FBWeek14,FL13097,FL67374
18306,17FBWeek14,FL1643,FL7596
18439,17FBWeek14,CIFCCS,CA19941
18282,17FBWeek14,GA5278,GHSA
15891,17FBWeek14,CA22606,CA8044
15786,17FBWeek14,ID69288,ID17875
18427,17FBWeek14,CA23039,CA23091
18329,17FBWeek14,FL5938,CA22554
18414,17FBWeek14,ME14201,ME22137
18378,17FBWeek14,AL1411,AL2325
18368,17FBWeek14,AL49,AL19954
18294,17FBWeek14,FL11636,FL17955
18471,17FBWeek14,PA6321,PA6421
18486,17FBWeek14,OK21013,OK24505
18468,17FBWeek14,PA6302,PA6413
18431,17FBWeek14,CA19934,CA19942
18440,17FBWeek14,CA22976,CA22944
18377,17FBWeek14,AL13507,AL11878
15921,17FBWeek14,CA7906,CA8022
18360,17FBWeek14,AL13525,AL919
18351,17FBWeek14,AL1298,AL13588
15959,17FBWeek14,CA22596,CA68769
18284,17FBWeek14,GA5355,GHSA
18345,17FBWeek14,AL11758,AL13532
18411,17FBWeek14,WV2155,WV2641
15822,17FBWeek14,ID69301,no opponent ID given
18348,17FBWeek14,AL2260,AL68428
18355,17FBWeek14,AL11816,AL11851
18324,17FBWeek14,FL7603,FL7747
18462,17FBWeek14,PA6615,PA6482
16962,17FBWeek14,CA15791,CA15779
18354,17FBWeek14,AL11822,AL11815
18289,17FBWeek14,FL16975,FL7601
18371,17FBWeek14,AL68430,AL11769
17717,17FBWeek14,FL71932,no opponent ID given
13969,17FBWeek14,NYSPHSAA8,no opponent ID given
16337,17FBWeek14,GA67998,no opponent ID given
13970,17FBWeek14,NYSPHSAA8,no opponent ID given
18303,17FBWeek14,FL7600,FL6593
18362,17FBWeek14,AL11844,AL60
