event,home,away,campaign
8662,VA7836,VA7815,2017Week50Basketball
8658,VA7836,VA7790,2017Week50Basketball
18457,CA7975,CA23113,2017Week50Basketball
13217,NC1162,NC2477,2017Week50Basketball
13420,FL17054,FL17057,2017Week50Soccer
9479,VA24906,VA24934,2017Week50Basketball
15804,GA5355,GA6111,2017Week50Basketball
13953,GA67936,GA4137,2017Week50Basketball
14691,MI4085,MI4532,2017Week50Basketball
6308,AL1761,AL1838,2017Week50Basketball
17559,CA68755,CA8050,2017Week50Soccer
5735,CA23094,CA22960,2017Week50Girls Basketball
13446,CA22869,CA23084,2017Week50Boys Basketball
18510,CA23095,CA23048,2017Week50Basketball
19381,WV894,WV2696,2017Week50Basketball
19167,SC8263,SC1738,2017Week50Basketball
19168,SC8263,SC12429,2017Week50Basketball
19382,WV894,WV2258,2017Week50Basketball
19618,HI17583,no opponent ID given,2017Week50Wrestling
19179,SC3840,no opponent ID given,2017Week50Wrestling
19621,HI68353,no opponent ID given,2017Week50Wrestling
