event,home,away,campaign
14970,GA5259,GA5350,FootballWeek17
16138,GA5122,GA5350,FootballWeek17
16091,GA4970,GA5355,FootballWeek17
18118,GA4954,GA5355,FootballWeek17
15524,GA4986,GA5400,FootballWeek17
14544,GA5372,GA5400,FootballWeek17
17129,GA12434,GA5809,FootballWeek17
13342,GA51112,GA6114,FootballWeek17
15783,GA5350,GA6120,FootballWeek17
13279,GA5040,GA6120,FootballWeek17
18114,GA4954,GA6120,FootballWeek17
15369,GA4969,GA67371,FootballWeek17
14653,GA4137,GA67689,FootballWeek17
16293,GA5151,GA67936,FootballWeek17
16272,GA4879,GA67936,FootballWeek17
13387,GA5246,GA6802,FootballWeek17
16246,GA5321,GA68064,FootballWeek17
16726,GA7240,GA68326,FootballWeek17
16604,GA7106,GA7045,FootballWeek17
16757,GA7267,GA7050,FootballWeek17
16491,GA7181,GA7070,FootballWeek17
16756,GA7267,GA7106,FootballWeek17
16803,GA68328,GA7125,FootballWeek17
16738,GA7255,GA7165,FootballWeek17
16510,GA7045,GA7186,FootballWeek17
16492,GA7181,GA7186,FootballWeek17
16526,GA7049,GA7240,FootballWeek17
16717,GA7195,GA7255,FootballWeek17
16654,GA7125,GA7273,FootballWeek17
16682,GA68326,GA7276,FootballWeek17
16528,GA7049,GA7299,FootballWeek17
17827,IN10931,IN1590,FootballWeek17
19003,IN1532,IN2138,FootballWeek17
19061,IN1532,IN2138,FootballWeek17
17826,IN10931,IN2723,FootballWeek17
19064,IN1532,IN520,FootballWeek17
14629,IN5720,IN5466,FootballWeek17
19062,IN1532,IN69468,FootballWeek17
19004,IN1532,IN719,FootballWeek17
19002,IN1532,IN910,FootballWeek17
18611,KY27378,KYEL26423,FootballWeek17
16732,MS20008,LA20001,FootballWeek17
14708,MI4085,MI10195,FootballWeek17
17990,MI4085,MI10195,FootballWeek17
14698,MI4085,MI69813,FootballWeek17
17959,MI4085,MI69813,FootballWeek17
17919,MI9915,MI9930,FootballWeek17
17903,MI9915,MI9930,FootballWeek17
17940,MI9915,MI9966,FootballWeek17
16772,MS20008,MS20003,FootballWeek17
16729,MS20008,MS20004,FootballWeek17
16762,MS20008,MS20004,FootballWeek17
18738,NC2085,NC1061,FootballWeek17
14358,NC1538,NC12405,FootballWeek17
13539,NC12393,NC1471,FootballWeek17
13555,NC12393,NC1471,FootballWeek17
13357,NC12317,NC1543,FootballWeek17
10560,no home team id given,NC1543,FootballWeek17
18724,NC484,NC1660,FootballWeek17
16584,NC12393,NC1790,FootballWeek17
13564,no home team id given,NC1790,FootballWeek17
18735,NC2085,NC1885,FootballWeek17
14297,NC1883,NC2177,FootballWeek17
14555,NC4313,NC2344,FootballWeek17
18771,NC106,NC2575,FootballWeek17
18725,NC484,NC2586,FootballWeek17
14535,NC4313,NC349,FootballWeek17
14610,NC349,NC623,FootballWeek17
18770,NC106,NC70242,FootballWeek17
18737,NC2085,NC71,FootballWeek17
12685,FL17955,no opponent ID given,FootballWeek17
19206,SC1599,no opponent ID given,FootballWeek17
13810,FL68020,no opponent ID given,FootballWeek17
13431,FL17054,no opponent ID given,FootballWeek17
17873,FL17955,no opponent ID given,FootballWeek17
17641,AHSAA,no opponent ID given,FootballWeek17
17642,AHSAA,no opponent ID given,FootballWeek17
19165,NSAA,no opponent ID given,FootballWeek17
12912,FL71936,no opponent ID given,FootballWeek17
17689,WI50307,no opponent ID given,FootballWeek17
10835,VA12896,no opponent ID given,FootballWeek17
17184,WI50307,no opponent ID given,FootballWeek17
17979,CO16390,no opponent ID given,FootballWeek17
19127,SC1501,no opponent ID given,FootballWeek17
18703,GA5282,no opponent ID given,FootballWeek17
18736,NYSPHSAA8,no opponent ID given,FootballWeek17
14277,NC67497,no opponent ID given,FootballWeek17
13373,CA22898,no opponent ID given,FootballWeek17
17668,VA25529,no opponent ID given,FootballWeek17
16340,CA22914,no opponent ID given,FootballWeek17
17209,WI50307,no opponent ID given,FootballWeek17
17836,SC2017,no opponent ID given,FootballWeek17
17856,OK21106,no opponent ID given,FootballWeek17
17863,GA15373,no opponent ID given,FootballWeek17
18613,KY27378,no opponent ID given,FootballWeek17
13990,OH70730,no opponent ID given,FootballWeek17
11807,PA6473,no opponent ID given,FootballWeek17
13374,CA22898,no opponent ID given,FootballWeek17
13419,FL17054,no opponent ID given,FootballWeek17
16177,GA5226,no opponent ID given,FootballWeek17
13868,FL68020,no opponent ID given,FootballWeek17
19214,SC1599,no opponent ID given,FootballWeek17
16341,CA22914,no opponent ID given,FootballWeek17
17232,WI50307,no opponent ID given,FootballWeek17
17669,VA25529,no opponent ID given,FootballWeek17
14998,OH936,no opponent ID given,FootballWeek17
18184,AL2103,no opponent ID given,FootballWeek17
18485,CA31725,no opponent ID given,FootballWeek17
18546,GA4841,no opponent ID given,FootballWeek17
18063,KHSAA,no opponent ID given,FootballWeek17
18498,CA71951,no opponent ID given,FootballWeek17
11808,PA6473,no opponent ID given,FootballWeek17
13375,CA22898,no opponent ID given,FootballWeek17
17671,VA25529,no opponent ID given,FootballWeek17
16178,GA5226,no opponent ID given,FootballWeek17
16342,CA22914,no opponent ID given,FootballWeek17
17670,VA25529,no opponent ID given,FootballWeek17
17828,IN10931,no opponent ID given,FootballWeek17
17821,FL19831,no opponent ID given,FootballWeek17
15446,CIAC,no opponent ID given,FootballWeek17
19059,CIAC,no opponent ID given,FootballWeek17
15447,CIAC,no opponent ID given,FootballWeek17
19060,CIAC,no opponent ID given,FootballWeek17
18186,AL2103,no opponent ID given,FootballWeek17
18066,KHSAA,no opponent ID given,FootballWeek17
18490,CA31725,no opponent ID given,FootballWeek17
18185,AL2103,no opponent ID given,FootballWeek17
18547,GA4841,no opponent ID given,FootballWeek17
18064,KHSAA,no opponent ID given,FootballWeek17
12802,NC1661,no opponent ID given,FootballWeek17
12800,NC1661,no opponent ID given,FootballWeek17
12798,NC1661,no opponent ID given,FootballWeek17
12806,NC1661,no opponent ID given,FootballWeek17
12803,NC1661,no opponent ID given,FootballWeek17
12799,NC1661,no opponent ID given,FootballWeek17
12801,NC1661,no opponent ID given,FootballWeek17
12796,NC1661,no opponent ID given,FootballWeek17
18718,CA71951,no opponent ID given,FootballWeek17
13993,OH70730,no opponent ID given,FootballWeek17
18187,AL2103,no opponent ID given,FootballWeek17
16631,OH1331,OH1051,FootballWeek17
16632,OH1331,OH1332,FootballWeek17
15336,OH936,OH1367,FootballWeek17
8310,OH549,OH1412,FootballWeek17
15366,OH936,OH1731,FootballWeek17
8312,OH549,OH1899,FootballWeek17
16536,OH1604,OH209,FootballWeek17
16330,OH1604,OH2380,FootballWeek17
16633,OH1331,OH343,FootballWeek17
16535,OH1604,OH361,FootballWeek17
8311,OH549,OH549,FootballWeek17
16292,OH1604,OH87,FootballWeek17
10792,OK21106,OK13156,FootballWeek17
