Event ID,Event Name,Tickets Sold,Date,Sport,Home Team State Association,Special Game?,Home Team Name,Opposing Team Name,App Link,Source,Medium,Campaign,Tagged Link
17336,Sand Rock Wildcats vs Mars Hill Panthers,0,11/10/17,2A Football,AHSAA,AHSAA Playoffs - 1st Round,Sand Rock High School,Mars Hill Bible School,https://gofan.co/app/events/17336,AHSAA,Click,ALTIX,https://gofan.co/app/events/17336?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17337,Lanett Panthers vs Tanner Rattlers,0,11/10/17,2A Football,AHSAA,AHSAA Playoffs - 1st Round,Lanett High School,Tanner High School,https://gofan.co/app/events/17337,AHSAA,Click,ALTIX,https://gofan.co/app/events/17337?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17334,Lamar County Bulldogs vs Ider Hornets,5,11/10/17,2A Football,AHSAA,AHSAA Playoffs - 1st Round,Lamar County High School,Ider High School,https://gofan.co/app/events/17334,AHSAA,Click,ALTIX,https://gofan.co/app/events/17334?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17323,Aliceville Yellow Jackets vs Samson Tigers,3,11/10/17,2A Football,AHSAA,AHSAA Playoffs - 1st Round,Aliceville High School,Samson High School,https://gofan.co/app/events/17323,AHSAA,Click,ALTIX,https://gofan.co/app/events/17323?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17329,St. Luke's Wildcats vs New Brockton Gamecocks,0,11/10/17,2A Football,AHSAA,AHSAA Playoffs - 1st Round,St. Luke's Episcopal School,New Brockton High School,https://gofan.co/app/events/17329,AHSAA,Click,ALTIX,https://gofan.co/app/events/17329?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17330,Falkville Blue Devils vs Reeltown Rebels,0,11/10/17,2A Football,AHSAA,AHSAA Playoffs - 1st Round,Falkville High School,Reeltown High School,https://gofan.co/app/events/17330,AHSAA,Click,ALTIX,https://gofan.co/app/events/17330?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17306,Pike County Bulldogs vs Mobile Christian Leopards,0,11/10/17,3A Football,AHSAA,AHSAA Playoffs - 1st Round,Pike County High School,Mobile Christian High School,https://gofan.co/app/events/17306,AHSAA,Click,ALTIX,https://gofan.co/app/events/17306?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17308,Clarke County Bulldogs vs Selma Saints,0,11/10/17,3A Football,AHSAA,AHSAA Playoffs - 1st Round,Clarke County High School,Selma High School,https://gofan.co/app/events/17308,AHSAA,Click,ALTIX,https://gofan.co/app/events/17308?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17309,Wicksburg Panthers vs Midfield Patriots,0,11/10/17,3A Football,AHSAA,AHSAA Playoffs - 1st Round,Wicksburg High School,Midfield High School,https://gofan.co/app/events/17309,AHSAA,Click,ALTIX,https://gofan.co/app/events/17309?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17311,Montgomery Academy Eagles vs Bayside Academy Admirals,0,11/10/17,3A Football,AHSAA,AHSAA Playoffs - 1st Round,Montgomery Academy,Bayside Academy,https://gofan.co/app/events/17311,AHSAA,Click,ALTIX,https://gofan.co/app/events/17311?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17312,Daleville Warhawks vs Oakman Wildcats,0,11/10/17,3A Football,AHSAA,AHSAA Playoffs - 1st Round,Daleville High School,Oakman High School,https://gofan.co/app/events/17312,AHSAA,Click,ALTIX,https://gofan.co/app/events/17312?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17313,Hillcrest Jaguars vs Prattville Christian Academy Panthers,0,11/10/17,3A Football,AHSAA,AHSAA Playoffs - 1st Round,Hillcrest High School,Prattville Christian Academy,https://gofan.co/app/events/17313,AHSAA,Click,ALTIX,https://gofan.co/app/events/17313?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17321,Piedmont High Bulldogs vs Geraldine Bulldogs,0,11/10/17,3A Football,AHSAA,AHSAA Playoffs - 1st Round,Piedmont High School,Geraldine High School,https://gofan.co/app/events/17321,AHSAA,Click,ALTIX,https://gofan.co/app/events/17321?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
17314,Sylvania Rams vs Ohatchee Indians,0,11/10/17,3A Football,AHSAA,AHSAA Playoffs - 1st Round,Sylvania High School,Ohatchee High School,https://gofan.co/app/events/17314,AHSAA,Click,ALTIX,https://gofan.co/app/events/17314?utm_source=AHSAA&utm_medium=Click&utm_campaign=ALTIX
